customer_id,first_name,last_name,email,loyalty_status,signup_date
C1000,Michael,Luna,curtisscott@morrison.com,Silver,2023-12-09
C1001,Stephanie,Burton,kmaldonado@hotmail.com,Bronze,2024-11-29
C1002,Valerie,Morris,scottharrison@hotmail.com,Silver,2024-03-16
C1003,Laura,Vargas,collinsshannon@gmail.com,Silver,2024-05-06
C1004,Marie,Jones,jford@huang.com,Gold,2024-03-30
C1005,Cassidy,Mason,vgarcia@miller.info,Gold,2024-06-30
C1006,Alexandria,Bishop,samantha66@yahoo.com,Gold,2025-01-02
C1007,Carla,Mccormick,riveraangela@yahoo.com,Silver,2024-03-01
C1008,Johnathan,York,christopher25@ponce-hale.biz,None,2023-11-02
C1009,Brooke,Hurley,vschneider@gmail.com,None,2024-12-26
C1010,Jacqueline,Valentine,bromero@parker-bean.com,Silver,2025-03-11
C1011,Tom,Perez,chrisrichard@romero.net,Gold,2023-08-23
C1012,Ebony,Walter,lmoore@wise.info,Silver,2023-08-27
C1013,Robert,Rhodes,wbishop@bowers.info,None,2025-05-03
C1014,James,Gregory,xhammond@yahoo.com,None,2024-08-18
C1015,Allison,Burch,moniquewilliams@sawyer-spencer.com,None,2025-01-27
C1016,Meghan,Rosales,hinesjoshua@hotmail.com,Silver,2023-11-16
C1017,Mariah,Davis,bwilkerson@brown-shaw.com,None,2024-05-19
C1018,Virginia,Brooks,sarah52@johnson.com,None,2025-03-05
C1019,Janice,West,smithjason@dunn.org,None,2024-09-06
C1020,Rodney,Parsons,david36@bauer.info,None,2024-10-30
C1021,Amanda,Chen,kellysmith@allen-butler.com,Bronze,2024-09-03
C1022,Theresa,Jones,cmarks@hughes.com,Silver,2025-03-28
C1023,Carlos,Allen,dennis58@li-thompson.info,Silver,2025-01-15
C1024,Timothy,White,baldwinsherry@carter.com,None,2025-06-12
C1025,Bobby,Mahoney,wking@hotmail.com,Gold,2023-12-20
C1026,Justin,Atkins,joshua56@paul-kline.biz,None,2024-04-13
C1027,Terri,Crawford,sandra84@gmail.com,Silver,2025-02-08
C1028,Roger,Jordan,manuel15@phillips.com,Bronze,2025-01-10
C1029,Scott,West,yhill@gmail.com,None,2023-09-21
C1030,Emily,Sullivan,thomascathy@johnson-jones.com,Bronze,2024-05-01
C1031,Patrick,Bradley,xrush@hines-berry.net,Gold,2024-05-05
C1032,Raymond,Banks,johnsonjacob@hughes.com,Gold,2025-01-21
C1033,Sean,Davies,igonzalez@gmail.com,None,2024-07-10
C1034,Gerald,Reeves,elizabeth18@roberts.com,Bronze,2025-04-01
